timestamp,open,high,low,close,volume,quote_volume,trade_count,buy_vol,sell_vol,delta,cum_delta,delta_pct,buy_trades,sell_trades,avg_trade_size,max_trade,large_vol_1btc,large_trades_1btc,whale_vol_5btc,poc_price,poc_buy_vol,poc_sell_vol,footprint_top3,absorption
2025-06-17 10:05:00,107448.67,107448.67,107340.75,107379.04,37.2710,4002762.75,1898,4.3335,32.9375,-28.6040,23.0098,-76.75,626,1272,0.01964,2.1517,9.0308,6,0.0000,107390,0.5863,8.4307,107390:0.59:8.43;107380:1.36:6.19;107400:0.20:6.18,NO
2025-06-17 10:10:00,107379.05,107386.00,107303.01,107348.81,16.3386,1753911.43,1629,4.6233,11.7153,-7.0920,15.9178,-43.41,678,951,0.01003,1.1134,1.1134,1,0.0000,107310,1.5063,1.1984,107310:1.51:1.20;107340:0.29:2.27;107370:0.33:1.95,NO
2025-06-17 10:15:00,107348.82,107417.20,107348.81,107417.05,46.0559,4945925.10,2130,36.0674,9.9885,26.0790,41.9967,56.62,1260,870,0.02162,4.1224,17.0888,6,0.0000,107380,19.5105,3.4298,107380:19.51:3.43;107400:5.87:2.20;107410:3.46:1.80,NO
2025-06-17 10:20:00,107417.04,107437.91,107324.35,107324.35,18.3341,1968947.54,1645,4.3423,13.9918,-9.6494,32.3473,-52.63,543,1102,0.01115,3.0000,6.6813,3,0.0000,107420,2.0071,2.8091,107420:2.01:2.81;107360:0.12:4.07;107400:0.96:1.62,NO
2025-06-17 10:25:00,107324.36,107418.30,107320.22,107333.64,10.9720,1177883.77,1558,6.9861,3.9859,3.0002,35.3475,27.34,784,774,0.00704,0.7026,0.0000,0,0.0000,107330,2.1548,1.2958,107330:2.15:1.30;107320:0.97:0.68;107360:1.11:0.50,NO
2025-06-17 10:30:00,107333.64,107348.84,107315.45,107335.22,11.7149,1257406.12,1217,5.4879,6.2270,-0.7390,34.6085,-6.31,647,570,0.00963,1.0000,1.0000,1,0.0000,107340,1.2157,3.2502,107340:1.22:3.25;107330:1.46:2.57;107320:2.49:0.21,NO
2025-06-17 10:35:00,107335.23,107403.99,107316.28,107316.28,34.8139,3737313.88,1556,9.6100,25.2038,-15.5938,19.0147,-44.79,714,842,0.02237,2.6997,10.0120,5,0.0000,107340,2.6173,8.6251,107340:2.62:8.63;107320:0.21:8.19;107390:3.95:0.23,YES
2025-06-17 10:40:00,107316.28,107316.28,107224.08,107272.88,62.9394,6752096.36,2855,25.7941,37.1454,-11.3513,7.6634,-18.04,1413,1442,0.02205,10.0000,22.5965,5,15.9576,107280,3.1348,15.2224,107280:3.13:15.22;107260:13.91:2.20;107300:1.13:8.87,NO
2025-06-17 10:45:00,107272.88,107309.47,107131.14,107255.82,58.5576,6280011.03,5003,16.1246,42.4330,-26.3084,-18.6450,-44.93,2867,2136,0.01170,5.0000,15.0915,7,5.0000,107280,2.6579,11.2014,107280:2.66:11.20;107270:1.00:7.65;107260:1.25:4.17,YES
2025-06-17 10:50:00,107255.82,107255.82,107040.00,107101.35,70.0034,7501085.60,3781,17.6504,52.3530,-34.7027,-53.3476,-49.57,1551,2230,0.01851,2.2223,10.4318,7,0.0000,107050,1.2610,7.5142,107050:1.26:7.51;107180:3.78:2.63;107200:3.82:2.55,NO
2025-06-17 10:55:00,107101.36,107255.55,107092.00,107229.14,42.3538,4539035.57,3243,27.4143,14.9395,12.4749,-40.8728,29.45,2277,966,0.01306,1.4043,4.0080,3,0.0000,107160,4.1606,2.7300,107160:4.16:2.73;107090:5.36:0.29;107250:2.46:1.62,NO
2025-06-17 11:00:00,107229.15,107279.56,107172.82,107222.06,24.3363,2609085.44,2426,11.3335,13.0028,-1.6694,-42.5421,-6.86,1420,1006,0.01003,0.6000,0.0000,0,0.0000,107200,2.6132,4.0768,107200:2.61:4.08;107180:1.68:2.60;107190:1.59:2.28,NO
2025-06-17 11:05:00,107222.06,107300.00,107201.22,107284.67,14.1438,1517059.58,1701,8.5870,5.5568,3.0302,-39.5119,21.42,1120,581,0.00831,1.3461,2.3461,2,0.0000,107250,2.8173,0.2104,107250:2.82:0.21;107290:0.32:2.37;107260:1.47:0.96,NO
2025-06-17 11:10:00,107284.67,107284.67,107180.20,107185.83,25.5466,2738635.00,1624,5.1711,20.3755,-15.2044,-54.7163,-59.52,637,987,0.01573,4.3050,11.8577,3,0.0000,107190,1.2698,15.5425,107190:1.27:15.54;107180:2.51:1.32;107240:1.07:0.78,NO
2025-06-17 11:15:00,107185.83,107185.83,107044.12,107044.51,24.9303,2669910.54,2457,7.7427,17.1876,-9.4448,-64.1611,-37.88,1009,1448,0.01015,1.8870,3.4120,2,0.0000,107070,2.8211,4.5887,107070:2.82:4.59;107080:0.42:5.26;107140:1.74:0.96,NO
2025-06-17 11:20:00,107044.52,107177.22,107044.51,107122.72,53.7600,5758199.68,2857,44.5047,9.2553,35.2494,-28.9118,65.57,1802,1055,0.01882,4.3831,12.5622,5,0.0000,107110,6.9374,1.0984,107110:6.94:1.10;107100:7.29:0.10;107060:4.87:2.48,NO
2025-06-17 11:25:00,107122.73,107150.88,107053.53,107122.02,44.2908,4744233.57,2105,20.5398,23.7510,-3.2112,-32.1230,-7.25,1121,984,0.02104,5.0000,26.9546,10,5.0000,107110,2.4733,10.7454,107110:2.47:10.75;107120:9.35:0.69;107140:3.75:2.11,NO
2025-06-17 11:30:00,107122.01,107169.88,107077.82,107159.99,27.2016,2914107.94,2817,17.7400,9.4617,8.2783,-23.8447,30.43,1565,1252,0.00966,1.2176,2.4051,2,0.0000,107140,5.1253,2.9315,107140:5.13:2.93;107130:3.60:1.16;107150:1.85:1.76,NO
2025-06-17 11:35:00,107160.00,107210.37,107048.75,107196.47,33.9666,3638921.62,3106,16.3690,17.5976,-1.2286,-25.0733,-3.62,1746,1360,0.01094,1.0000,0.0000,0,0.0000,107140,1.6470,3.8371,107140:1.65:3.84;107150:0.96:3.92;107120:2.92:0.76,NO
2025-06-17 11:40:00,107196.47,107234.94,107183.61,107208.03,19.6977,2111782.98,1731,7.6383,12.0593,-4.4210,-29.4943,-22.44,877,854,0.01138,1.3718,2.4909,2,0.0000,107210,1.9721,3.4597,107210:1.97:3.46;107200:3.29:1.82;107220:0.41:3.96,NO
2025-06-17 11:45:00,107208.03,107208.03,106975.30,107024.56,29.3839,3147076.56,2982,13.0450,16.3389,-3.2938,-32.7881,-11.21,857,2125,0.00985,1.3287,1.3287,1,0.0000,107150,4.7204,1.8796,107150:4.72:1.88;106990:2.64:1.38;107160:1.89:2.07,NO
